url	dist.FAO.Area	dist.Status
97	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Atlantic, Northeast	native
98	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Atlantic, Western Central	native
99	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Atlantic, Eastern Central	native
100	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Atlantic, Southwest	native
101	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Atlantic, Southeast	native
102	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Indian Ocean, Western	native
103	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Indian Ocean, Eastern	native
104	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Pacific, Northwest	native
105	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Pacific, Western Central	native
106	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Pacific, Eastern Central	native
107	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Pacific, Southwest	native
108	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Pacific, Southeast	native
109	https://www.fishbase.se/Country/FaoAreaList.php?ID=9109&GenusName=Saccopharynx&SpeciesName=ampullaceus&fc=68&StockCode=9430&Scientific=Saccopharynx+ampullaceus	Atlantic, Northwest	native
110	https://www.fishbase.se/Country/FaoAreaList.php?ID=9109&GenusName=Saccopharynx&SpeciesName=ampullaceus&fc=68&StockCode=9430&Scientific=Saccopharynx+ampullaceus	Atlantic, Northeast	native
111	https://www.fishbase.se/Country/FaoAreaList.php?ID=9109&GenusName=Saccopharynx&SpeciesName=ampullaceus&fc=68&StockCode=9430&Scientific=Saccopharynx+ampullaceus	Atlantic, Eastern Central	native
112	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Atlantic, Northwest	native
113	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Atlantic, Northeast	native
