url	sci_name	common_name	habitat	threat_to_humans	human_uses	IUCN	IUCN_abr	physical_characters
35	https://www.fishbase.se/summary/Serrivomer-beanii.html	Serrivomer beanii Gill  &  Ryder,  1883	Stout sawpalate	Marine;  bathypelagic; depth range 0 - 6000 m (Ref. 117245).   Deep-water; 82°N -   59°S, 179°W -   167°E	Harmless	Fisheries: of no interest	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 78.0 cm TL male/unsexed; (Ref. 5236)
36	https://www.fishbase.se/summary/Echidna-nebulosa.html	Echidna nebulosa (Ahl,  1789)	Starry moray	Marine;  reef-associated; depth range 1 - 48 m (Ref. 58302), usually ? - 10 m (Ref. 30404).   Tropical; 32°N -   33°S, 27°E -   76°W	Harmless	Fisheries: minor commercial; aquarium: commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 100.0 cm TL male/unsexed; (Ref. 48635); common length : 50.0 cm TL male/unsexed; (Ref. 3258)
37	https://www.fishbase.se/summary/Conger-oceanicus.html	Conger oceanicus (Mitchill,  1818)	American conger	Marine;  demersal; oceanodromous (Ref. 51243); depth range 1 - 477 m (Ref. 5951), usually 75 - 150 m (Ref. 5951).   Subtropical; 46°N -   16°S, 97°W -   5°W	Harmless	Fisheries: minor commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 230 cm TL male/unsexed; (Ref. 7251); common length : 100.0 cm TL male/unsexed; (Ref. 3715); max. published weight: 40.0 kg (Ref. 7251)
38	https://www.fishbase.se/summary/Muraenesox-cinereus.html	Muraenesox cinereus (Forsskål,  1775)	Daggertooth pike conger	Marine; freshwater; brackish;  demersal; oceanodromous; depth range ? - 800 m (Ref. 100719), usually ? - 300 m (Ref. 9942).   Subtropical; 47°N -   4°S, 30°E -   143°E (Ref. 54598)	Harmless	Fisheries: highly commercial; aquaculture: commercial; gamefish: yes; bait: occasionally	Not Evaluated	NA	Maturity: Lm ?  range ? - ? cm Max length : 220 cm TL male/unsexed; (Ref. 559); common length : 80.0 cm TL male/unsexed; (Ref. 3397); max. reported age: 15 years (Ref. 72462)
39	https://www.fishbase.se/summary/Myrichthys-maculosus.html	Myrichthys maculosus (Cuvier,  1816)	Tiger snake eel	Marine;  reef-associated; depth range 0 - 262 m (Ref. 9710).   Tropical; 30°N -   33°S	Harmless	Aquarium: commercial	Not Evaluated	NA	Maturity: Lm ?  range ? - ? cm Max length : 100.0 cm TL male/unsexed; (Ref. 1602); common length : 50.0 cm TL male/unsexed; (Ref. 9137)
40	https://www.fishbase.se/summary/Ophichthus-cephalozona.html	Ophichthus cephalozona Bleeker,  1864	Dark-shouldered snake eel	Marine;  reef-associated; depth range 1 - 30 m (Ref. 86942).   Tropical; 38°N -   26°S, 96°E -   148°W	Harmless	Fisheries: of no interest	Not Evaluated	NA	Maturity: Lm ?  range ? - ? cm Max length : 115 cm TL male/unsexed; (Ref. 90102)
41	https://www.fishbase.se/summary/Hiodon-tergisus.html	Hiodon tergisus Lesueur,  1818	Mooneye	Freshwater;  pelagic.   Temperate; 60°N -   30°N	Harmless	NA	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 47.0 cm TL male/unsexed; (Ref. 5723); common length : 28.3 cm TL male/unsexed; (Ref. 12193); max. published weight: 907.00 g (Ref. 3221); max. reported age: 10 years (Ref. 12193)
42	https://www.fishbase.se/summary/Hiodon-alosoides.html	Hiodon alosoides (Rafinesque,  1819)	Goldeye	Freshwater;  pelagic; potamodromous (Ref. 51243).   Temperate; 69°N -   31°N	Harmless	Fisheries: minor commercial; gamefish: yes	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 52.0 cm FL male/unsexed; (Ref. 40637); common length : 31.0 cm OT male/unsexed; (Ref. 3221); max. published weight: 1.7 kg (Ref. 4699); max. reported age: 14 years (Ref. 12193)
43	https://www.fishbase.se/summary/Pantodon-buchholzi.html	Pantodon buchholzi Peters,  1876	Freshwater butterflyfish	Freshwater;  pelagic; potamodromous (Ref. 51243).   Tropical; 23°C - 30°C (Ref. 13371)	Harmless	Fisheries: of no interest; aquarium: commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 11.9 cm TL male/unsexed; (Ref. 52030)
44	https://www.fishbase.se/summary/Osteoglossum-bicirrhosum.html	Osteoglossum bicirrhosum (Cuvier,  1829)	Arawana	Freshwater;  benthopelagic.   Tropical; 24°C - 30°C (Ref. 1672)	Harmless	Fisheries: commercial; gamefish: yes; aquarium: commercial	Not Evaluated	NA	Maturity: Lm ?  range ? - ? cm Max length : 90.0 cm TL male/unsexed; (Ref. 50892); max. published weight: 6.0 kg (Ref. 72380)
