url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age
https://www.fishbase.se/summary/Makaira-sp.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
https://www.fishbase.se/summary/Makaira-nigricans.html	Makaira nigricans Lacepède,  1802	Blue marlin	Harmless	Vulnerable 	VU	commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	1000	Subtropical	636.0 kg	NA
https://www.fishbase.se/summary/Nematistius-pectoralis.html	Nematistius pectoralis Gill,  1862	Roosterfish	Harmless	Not Evaluated	NA	minor commercial	NA	yes	NA	NA	Marine	demersal	NA	NA	NA	Subtropical	51.7 kg	NA
https://www.fishbase.se/summary/Rachycentron-canadum.html	Rachycentron canadum (Linnaeus,  1766)	Cobia	Harmless	Least Concern 	LC	minor commercial	commercial	yes	NA	NA	Marine;brackish	reef-associated	oceanodromous	0	1200	Subtropical	68.0 kg	15 years
https://www.fishbase.se/summary/Coryphaena-hippurus.html	Coryphaena hippurus Linnaeus,  1758	Common dolphinfish	Reports of ciguatera poisoning 	Least Concern 	LC	highly commercial	commercial	yes	NA	NA	Marine;brackish	pelagic-neritic	oceanodromous	0	85	Subtropical	40.0 kg	4 years
https://www.fishbase.se/summary/Remora-osteochir.html	Remora osteochir (Cuvier,  1829)	Marlin sucker	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	pelagic-oceanic	oceanodromous	NA	200	Subtropical	NA	NA
https://www.fishbase.se/summary/Phtheirichthys-lineatus.html	Phtheirichthys lineatus (Menzies,  1791)	Slender suckerfish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	5	Subtropical	NA	NA
https://www.fishbase.se/summary/Echeneis-neucratoides.html	Echeneis neucratoides Zuiew,  1789	Whitefin sharksucker	Harmless	Data deficient 	DD	commercial	NA	NA	NA	NA	Marine	reef-associated	NA	NA	NA	Subtropical	NA	NA
https://www.fishbase.se/summary/Echeneis-naucrates.html	Echeneis naucrates Linnaeus,  1758	Live sharksucker	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	commercial	Marine;brackish	reef-associated	NA	1	85	Subtropical	2.3 kg	NA
https://www.fishbase.se/summary/Indostomus-paradoxus.html	Indostomus paradoxus Prashad  &  Mukerji,  1929	Pipe fish	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Indostomus-crocodilus.html	Indostomus crocodilus Britz  &  Kottelat,  1999	NA	Harmless	Vulnerable 	VU	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Monopterus-albus.html	Monopterus albus (Zuiew,  1793)	Asian swamp eel	Harmless	Least Concern 	LC	commercial	commercial	NA	NA	commercial	Freshwater;brackish	demersal	potamodromous	3	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Macrognathus-siamensis.html	Macrognathus siamensis (Günther,  1861)	Peacock eel	Harmless	Least Concern 	LC	commercial	NA	NA	NA	commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Mastacembelus-cunningtoni.html	Mastacembelus cunningtoni Boulenger,  1906	NA	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	potential	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Mastacembelus-brachyrhinus.html	Mastacembelus brachyrhinus Boulenger,  1899	NA	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Mastacembelus-erythrotaenia.html	Mastacembelus erythrotaenia Bleeker,  1850	Fire eel	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Mastacembelus-niger.html	Mastacembelus niger Sauvage,  1879	NA	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Pristolepis-sp.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
