Group	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_area	fao_status
Labropsis_australis_G01345	Southern tubelip	Harmless	Least Concern	LC						0	0	1	reef-associated		2	55	Tropical			Pacific, Southwest; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Lachnolaimus_maximus_E00014	Hogfish	Reports of ciguatera poisoning	Vulnerable	VU	minor commercial		yes		commercial	0	0	1	reef-associated		3	30	Subtropical	11	23	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Southwest	native
Lactarius_lactarius_Fiji_M01673	False trevally	Harmless	Not Evaluated	NE	commercial					0	1	1	pelagic-neritic		15	100	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Lactarius_lactarius_Qatar_M01593	False trevally	Harmless	Not Evaluated	NE	commercial					0	1	1	pelagic-neritic		15	100	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Laemolyta_proxima_P1_D01_RG52		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical	0.415		America, South - Inland waters	endemic
Laemonema_barbatulum_E00412	Shortbeard codling	Harmless	Least Concern	LC						0	0	1	benthopelagic		50	1620	Subtropical			Atlantic, Northwest; Atlantic, Western Central; Atlantic, Southwest	native
Laemonema_goodebeanorum_E00457		Harmless	Least Concern	LC						0	0	1	benthopelagic		180	792	Subtropical			Atlantic, Northwest; Atlantic, Western Central; Atlantic, Southwest	native
Laeops_kitaharae_E00082		Harmless	Data deficient	DD						0	0	1	demersal		70	300	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Lagocephalus_laevigatus_E00601	Smooth puffer	Other	Least Concern	LC	minor commercial					0	1	1	pelagic-neritic		10	180	Subtropical	4.9		Atlantic, Northwest; Atlantic, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast	native
Lagodon_rhomboides_G01346	Pinfish	Harmless	Least Concern	LC	minor commercial		yes	usually		1	1	1	demersal				Subtropical	1.5		Atlantic, Northwest; Atlantic, Western Central	native
Lamontichthys_filamentosus_P02_A02_RG27		Harmless	Not Evaluated	NE						1	0	0	demersal				Tropical			America, South - Inland waters	endemic
Lampadena_speculigera_E00781	Mirror lanternfish	Harmless	Least Concern	LC						0	0	1	bathypelagic	oceanodromous	0	1000	Deep-water			Atlantic, Northwest; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Indian Ocean, Antarctic	native
Lampanyctus_jordani_M22102	Brokenline lanternfish	Harmless	Least Concern	LC						0	0	1	bathypelagic		588	3400	Deep-water			Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
Lampanyctus_macdonaldi_E00967	Rakery beaconlamp	Harmless	Least Concern	LC						0	0	1	bathypelagic	oceanodromous	60	1464	Deep-water			Atlantic, Northwest; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Atlantic, Northeast; Atlantic, Southwest; Atlantic, Southeast; Pacific, Southeast; Indian Ocean, Antarctic; Atlantic, Antarctic; Pacific, Antarctic	native
Lampris_guttatus_E00682	Opah	Harmless	Least Concern	LC	minor commercial		yes			0	0	1	bathypelagic	oceanodromous	0	500	Deep-water	270		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Pacific, Northeast; Atlantic, Antarctic; Mediterranean and Black Sea	native
Lamprogrammus_niger_E00275		Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		741	2000	Deep-water			Atlantic, Western Central; Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast	native
Larimus_breviceps_E01048	Shorthead drum	Harmless	Least Concern	LC	commercial			occasionally		0	1	1	demersal		1	60	Tropical	0.5		Atlantic, Western Central; Atlantic, Southwest	native
Lasiancistrus_schomburgkii_P1_F11_RG51		Harmless	Least Concern	LC						1	0	0	demersal				Tropical			America, South - Inland waters	endemic
Lateolabrax_japonicus_E01130	Japanese seabass	Harmless	Not Evaluated	NE	commercial	commercial	yes			1	1	1	reef-associated	catadromous	5		Subtropical	8.7		Pacific, Southwest; Pacific, Western Central; Asia - Inland waters; Pacific, Northwest	introduced
Lates_calcarifer_E01135	Barramundi	Harmless	Not Evaluated	NE	highly commercial	commercial	yes		public aquariums	1	1	1	demersal	catadromous	10	40	Tropical	60		Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Asia - Inland waters; Pacific, Northwest	native
Lates_japonicus_E01147	Japanese lates	Harmless	Vulnerable	VU	commercial		yes			1	1	1	demersal				Subtropical	33		Pacific, Northwest	endemic
Lates_microlepis_E01149	Forktail lates	Harmless	Endangered	EN	commercial		yes			1	0	0	pelagic				Tropical	8.3		Africa-Inland Waters	endemic
Latimeria_chalumnae_G01347	Coelacanth	Harmless	Critically Endangered	CR	of no interest					0	0	1	demersal	non-migratory	150	700	Deep-water	95	48	Indian Ocean, Western; Pacific, Western Central	native
Latridopsis_forsteri_M01594	Bastard trumpeter	Harmless	Not Evaluated	NE	commercial					0	0	1	demersal		20	160	Temperate			Indian Ocean, Eastern; Pacific, Southwest	native
Latris_lineata_M01595	Striped trumpeter	Harmless	Not Evaluated	NE	commercial	experimental				0	0	1	reef-associated		5	400	Temperate	25	43	Indian Ocean, Eastern; Pacific, Southwest	native
Laubuca_laubuca_I2543-MTD011	Indian glass barb	Harmless	Least Concern	LC				occasionally	commercial	1	1	0	pelagic		0	2	Tropical	0.0104			
Lebiasina_aureoguttata_P1_B03_RG02		Harmless	Not Evaluated	NE						1	0	0	demersal				Tropical				
Lebiasina_provenzanoi_P1_F07_RG33		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Lefua_echigonia_I2674-103		Harmless	Least Concern	LC						1	0	0	demersal				Temperate			Asia - Inland waters	endemic
Leiognathus_equulus_G01348	Common ponyfish	Harmless	Least Concern	LC	minor commercial	commercial				1	1	1	demersal	amphidromous	10	110	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Africa-Inland Waters; Pacific, Eastern Central; Asia - Inland waters; Pacific, Northwest; Atlantic, Southeast	native
Leiostomus_xanthurus_G01349	Spot croaker	Harmless	Least Concern	LC	commercial			occasionally		0	1	1	demersal	oceanodromous		60	Subtropical	0.45	4	Atlantic, Northwest; Atlantic, Western Central	native
Lepadichthys_lineatus_E01080	Doubleline clingfish	Harmless	Least Concern	LC						0	0	1	reef-associated		5	25	Tropical			Indian Ocean, Eastern; Indian Ocean, Western	native
Lepidion_ensiferus_E00334	Patagonian codling	Harmless	Not Evaluated	NE						0	0	1	bathypelagic		800	1000	Deep-water			Atlantic, Southwest; Atlantic, Southeast; Indian Ocean, Antarctic; Atlantic, Antarctic	native
Lepidoblepharon_ophthalmolepis_E00080	Scale-eyed flounder	Harmless	Not Evaluated	NE	of no interest					0	0	1	bathydemersal		310	428	Deep-water			Pacific, Western Central; Pacific, Northwest	native
Lepidocephalichthys_hasselti_I2618-111		Harmless	Least Concern	LC						1	0	0	demersal				Tropical			Asia - Inland waters	endemic
Lepidocharax_burnsi_P3_B02_RG25		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Lepidogalaxias_salamandroides_G01350	Salamanderfish	Harmless	Lower Risk: near threatened	LR/nt	of no interest					1	0	0	demersal	non-migratory			Temperate			Oceania - Inland waters	endemic
Lepidogobius_lepidus_G01351	Bay goby	Harmless	Not Evaluated	NE						0	0	1	demersal		0	201	Subtropical		7	Pacific, Eastern Central; Pacific, Northeast	native
Lepidophanes_guentheri_E00499	Günther’s lanternfish	Harmless	Least Concern	LC						0	0	1	pelagic-oceanic	oceanodromous	40	750	Subtropical		1	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast	native
Lepidopsetta_bilineata_E00438	Rock sole	Harmless	Not Evaluated	NE	commercial					0	0	1	demersal		0	575	Temperate	1.8	26	Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
Lepidopus_altifrons_E00474	Crested scabbardfish	Harmless	Least Concern	LC						0	0	1	benthopelagic		100	500	Subtropical			Atlantic, Northwest; Atlantic, Western Central; Atlantic, Southwest	native
Lepidorhombus_boscii_E00462	Four-spot megrim	Harmless	Not Evaluated	NE	minor commercial					0	0	1	demersal		7	800	Temperate			Atlantic, Northeast; Atlantic, Eastern Central; Mediterranean and Black Sea	native
Lepidosiren_paradoxa_G01352	South American lungfish	Harmless	Not Evaluated	NE	subsistence fisheries					1	0	0	demersal				Subtropical		8	America, South - Inland waters	endemic
Lepidozygus_tapeinosoma_E00929	Fusilier damselfish	Harmless	Not Evaluated	NE	of no interest				commercial	0	0	1	reef-associated	non-migratory	1	30	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Lepisosteus_oculatus_G01354	Spotted gar	Harmless	Least Concern	LC	minor commercial		yes			1	1	0	demersal				Subtropical	4.4	18	America, North - Inland waters	endemic
Lepisosteus_osseus_E00993	Longnose gar	Other	Least Concern	LC	minor commercial		yes		public aquariums	1	1	0	demersal		0		Subtropical	22.8	36	Atlantic, Northwest; America, North - Inland waters	native
Lepisosteus_platostomus_G01353	Shortnose gar	Harmless	Least Concern	LC			yes		public aquariums	1	0	0	demersal				Subtropical	2.6	20	America, North - Inland waters	endemic
Lepomis_cyanellus_E00132	Green sunfish	Harmless	Least Concern	LC		commercial	yes			1	0	0	benthopelagic				Subtropical	0.96	9	Oceania - Inland waters; Africa-Inland Waters; America, South - Inland waters; America, North - Inland waters; Europe - Inland waters; Asia - Inland waters	introduced
