items	name	Clade	Family	Order	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_status	Africa_Inland_Waters	North_America_Inland_waters	South_America_Inland_waters	Asia_Inland_waters	Europe_Inland_waters	Oceania_Inland_waters	Antarctica_Inland_waters	Arctic_Ocean	Atlantic_Antarctic	Atlantic_Eastern_Central	Atlantic_Northeast	Atlantic_Northwest	Atlantic_Southeast	Atlantic_Southwest	Atlantic_Western_Central	Indian_Ocean_Antarctic	Indian_Ocean_Eastern	Indian_Ocean_Western	Mediterranean_and_Black_Sea	Pacific_Antarctic	Pacific_Eastern_Central	Pacific_Northeast	Pacific_Northwest	Pacific_Southeast	Pacific_Southwest	Pacific_Western_Central
Diodon_holocanthus_E00312	Diodon_holocanthus_E00312	Clade42	Diodontidae	Tetraodontiformes	Longspined porcupinefish	Reports of ciguatera poisoning	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		2	200	Subtropical	0	0	native										yes		yes	yes	yes	yes		yes	yes			yes		yes	yes	yes	yes
Diplacanthopoma_brachysoma_E00452	Diplacanthopoma_brachysoma_E00452	Clade34a	Bythitidae	Ophidiiformes		Harmless	Least Concern	LC	of no interest					0	0	1	bathydemersal		460	1670	Deep-water	0	0	native														yes	yes											
Diplacanthopoma_brunnea_N05377	Diplacanthopoma_brunnea_N05377	Clade34a	Bythitidae	Ophidiiformes		Harmless	Not Evaluated	NE	of no interest					0	0	1	bathydemersal		0	685	Deep-water	0	0	questionable																		yes								yes
Diplectrum_bivittatum_E01008	Diplectrum_bivittatum_E01008	Clade42	Serranidae	Perciformes	Dwarf sand perch	Harmless	Least Concern	LC						0	0	1	reef-associated		0	100	Tropical	0	0	native														yes	yes											
Diplectrum_formosum_E01002	Diplectrum_formosum_E01002	Clade42	Serranidae	Perciformes	Sand perch	Harmless	Least Concern	LC	commercial		yes			0	0	1	reef-associated		1	80	Subtropical	0	0	native												yes		yes	yes											
Diplodus_annularis_M01647	Diplodus_annularis_M01647	Clade42	Sparidae	Spariformes	Annular seabream	Harmless	Least Concern	LC	commercial		yes			0	1	1	benthopelagic		0	90	Subtropical	0.33	7	native										yes	yes								yes							
Diplodus_bermudensis_M01648	Diplodus_bermudensis_M01648	Clade42	Sparidae	Spariformes	Bermuda porgy	Harmless	Least Concern	LC	commercial					0	0	1	benthopelagic		0	0	Tropical	0	0	endemic															yes											
Diplodus_capensis_E00807	Diplodus_capensis_E00807	Clade42	Sparidae	Spariformes	Cape white seabream	Harmless	Least Concern	LC	minor commercial		yes	usually		0	0	1	reef-associated		0	50	Tropical	0	21	native													yes					yes								
Diplogrammus_goramensis	Diplogrammus_goramensis	Clade37	Callionymidae	Syngnathiformes	Goram dragonet	Harmless	Not Evaluated	NE						0	0	1	reef-associated		5	40	Tropical	0	0	native																					yes		yes		yes	yes
Diplomystes_nahuelbutaensis_P02_C05_RG81	Diplomystes_nahuelbutaensis_P02_C05_RG81	Clade14b	Diplomystidae	Siluriformes		Harmless	Data deficient	DD	commercial		yes			1	0	0	demersal		0	0	Subtropical	0	0	endemic			yes																							
Diplophos_taenia_E00492	Diplophos_taenia_E00492	Clade21	Gonostomatidae	Stomiatiformes	Pacific portholefish	Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		0	1594	Deep-water	0	0	native										yes	yes	yes	yes	yes	yes		yes	yes			yes	yes	yes	yes	yes	yes
Diproctacanthus_xanthurus_G01278	Diproctacanthus_xanthurus_G01278	Clade42	Labridae	Labriformes	Yellowtail tubelip	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		2	25	Tropical	0	0	native																							yes			yes
Diretmichthys_parini_E00472	Diretmichthys_parini_E00472	Clade31	Diretmidae	Trachichthyiformes	Parins spinyfish	Harmless	Least Concern	LC						0	0	1	bathypelagic		0	2100	Deep-water	0	0	native										yes	yes		yes	yes	yes		yes	yes			yes		yes		yes	yes
Diretmus_argenteus_E01114	Diretmus_argenteus_E01114	Clade31	Diretmidae	Trachichthyiformes	Silver spinyfin	Harmless	Least Concern	LC	of potential interest					0	0	1	bathypelagic		0	2000	Deep-water	0	0	native										yes	yes	yes	yes	yes	yes		yes	yes					yes	yes	yes	yes
Discherodontus_ashmeadi_I2636-31	Discherodontus_ashmeadi_I2636-31	Clade11d	Cyprinidae	Cypriniformes		Harmless	Least Concern	LC	of no interest					1	0	0	benthopelagic		0	0	Tropical	0	0	endemic				yes																						
Dischistodus_perspicillatus_E00464	Dischistodus_perspicillatus_E00464	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	White damsel	Harmless	Not Evaluated	NE	minor commercial					0	1	1	reef-associated	non-migratory	1	10	Tropical	0	0	native																	yes						yes			yes
Dissostichus_eleginoides_G01279	Dissostichus_eleginoides_G01279	Clade42	Nototheniidae	Perciformes	Patagonian toothfish	Harmless	Not Evaluated	NE	commercial					0	0	1	pelagic-oceanic	oceanodromous	50	3850	Temperate	9.6	31	native									yes			yes		yes		yes				yes				yes	yes	
Distichodus_decemmaculatus_P3_H03_RG28	Distichodus_decemmaculatus_P3_H03_RG28	Clade12a	Distichodontidae	Characiformes		Harmless	Least Concern	LC						1	0	0	pelagic		0	0	Tropical	0	0	endemic	yes																									
Distichodus_fasciolatus_P1_D06_RG50	Distichodus_fasciolatus_P1_D06_RG50	Clade12a	Distichodontidae	Characiformes	Sharktail distichodus	Harmless	Least Concern	LC	of no interest					1	0	0	pelagic		0	0	Tropical	3	0	endemic	yes																									
Distichodus_fasciolatus_P3_B01_RG54	Distichodus_fasciolatus_P3_B01_RG54	Clade12a	Distichodontidae	Characiformes	Sharktail distichodus	Harmless	Least Concern	LC	of no interest					1	0	0	pelagic		0	0	Tropical	3	0	endemic	yes																									
Dolopichthys_sp_E00484	Dolopichthys_sp_E00484	Clade42	Oneirodidae	Lophiiformes										0	0	0			0	0		0	0																											
Doras_micropoeus_P02_H09_RG83	Doras_micropoeus_P02_H09_RG83	Clade14c	Doradidae	Siluriformes		Harmless	Not Evaluated	NE						1	0	0	demersal		0	0	Tropical	0	0	endemic			yes																							
Dormitator_maculatus_E00169	Dormitator_maculatus_E00169	Clade38c	Eleotridae	Gobiiformes	Fat sleeper	Harmless	Least Concern	LC					commercial	1	1	1	demersal	amphidromous	0	0	Tropical	0	0	native		yes	yes											yes	yes											
Dorosoma_cepedianum_E01016	Dorosoma_cepedianum_E01016	Clade08b	Clupeidae	Clupeiformes	American gizzard shad	Harmless	Least Concern	LC	minor commercial		yes	usually		1	1	1	pelagic-neritic	anadromous	0	33	Subtropical	2	10	native		yes										yes			yes											
Doryichthys_boaja	Doryichthys_boaja	Clade37	Syngnathidae	Syngnathiformes		Harmless	Data deficient	DD						1	0	0	benthopelagic		0	0	Tropical	0	0	native				yes																			yes			yes
Doryichthys_martensii	Doryichthys_martensii	Clade37	Syngnathidae	Syngnathiformes		Harmless	Data deficient	DD						1	0	0	benthopelagic		0	0	Tropical	0	0	endemic				yes																						
Doryrhamphus_excisus	Doryrhamphus_excisus	Clade37	Syngnathidae	Syngnathiformes	Bluestripe pipefish	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		2	50	Tropical	0	0																											
Doryrhamphus_janssi	Doryrhamphus_janssi	Clade37	Syngnathidae	Syngnathiformes	Janss pipefish	Harmless	Least Concern	LC						0	0	1	reef-associated		0	35	Tropical	0	0	native																	yes									yes
Draculo_mirabilis	Draculo_mirabilis	Clade37	Callionymidae	Syngnathiformes	Wonder dragonet	Harmless	Not Evaluated	NE						0	0	1	demersal		0	0	Temperate	0	0	endemic																							yes			
Drepane_punctata_E00250	Drepane_punctata_E00250	Clade42	Drepaneidae	Ephippiformes	Spotted sicklefish	Harmless	Not Evaluated	NE	commercial				commercial	1	1	1	reef-associated	amphidromous	10	49	Subtropical	0	0	native				yes													yes	yes			yes		yes			yes
Duboisialestes_tumbensis_P3_D03_RG81	Duboisialestes_tumbensis_P3_D03_RG81	Clade12b	Alestidae	Characiformes		Harmless	Least Concern	LC						1	0	0	pelagic		0	0	Tropical	0	0																											
Dunckerocampus_boylei	Dunckerocampus_boylei	Clade37	Syngnathidae	Syngnathiformes	Broad-banded Pipefish	Harmless	Least Concern	LC	of no interest					0	0	1	demersal	non-migratory	20	95	Deep-water	0	0	native																	yes	yes								
Dunckerocampus_dactyliophorus	Dunckerocampus_dactyliophorus	Clade37	Syngnathidae	Syngnathiformes	Ringed pipefish	Harmless	Data deficient	DD					public aquariums	0	0	1	reef-associated		5	56	Tropical	0	0	native																	yes	yes			yes		yes			yes
Dunckerocampus_pessuliferus	Dunckerocampus_pessuliferus	Clade37	Syngnathidae	Syngnathiformes	Yellowbanded pipefish	Harmless	Least Concern	LC						0	0	1	demersal		1	44	Tropical	0	0	native																	yes									yes
Echeneis_naucrates_E00615	Echeneis_naucrates_E00615	Clade40	Echeneidae	Carangiformes	Live sharksucker	Harmless	Least Concern	LC	minor commercial		yes		commercial	0	1	1	reef-associated		1	85	Subtropical	2.3	0	native										yes		yes	yes	yes	yes		yes	yes	yes		yes		yes	yes	yes	yes
Echeneis_neucratoides_E00245	Echeneis_neucratoides_E00245	Clade40	Echeneidae	Carangiformes	Whitefin sharksucker	Harmless	Data deficient	DD	commercial					0	0	1	reef-associated		0	0	Subtropical	0	0	native												yes		yes	yes											
Echidna_nebulosa_rhodochilus_G01281	Echidna_nebulosa_rhodochilus_G01281	Clade06d	Muraenidae	Anguilliformes	Starry moray	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		1	48	Tropical	0	0	native													yes				yes	yes			yes		yes	yes	yes	yes
Ecsenius_bicolor_E00984	Ecsenius_bicolor_E00984	Clade41	Blenniidae	Blenniiformes	Bicolor blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		1	25	Tropical	0	0	native																	yes	yes			yes		yes			yes
Ecsenius_midas_E00934	Ecsenius_midas_E00934	Clade41	Blenniidae	Blenniiformes	Persian blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		2	40	Tropical	0	0	native																	yes	yes			yes		yes			yes
Ecsenius_opsifrontalis_E00723	Ecsenius_opsifrontalis_E00723	Clade41	Blenniidae	Blenniiformes	Comical blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		0	0	Tropical	0	0	native																					yes					yes
Ecsenius_pardus_E00523	Ecsenius_pardus_E00523	Clade41	Blenniidae	Blenniiformes		Harmless	Least Concern	LC						0	0	1	demersal		0	15	Tropical	0	0	endemic																										yes
Eigenmannia_virescens_P1_F12_RG66	Eigenmannia_virescens_P1_F12_RG66	Clade13	Sternopygidae	Gymnotiformes	Glass knifefish	Harmless	Not Evaluated	NE	of no interest				commercial	1	0	0	benthopelagic		0	0	Subtropical	0.1136	0	endemic			yes																							
Elacatinus_oceanops_E00108	Elacatinus_oceanops_E00108	Clade38c	Gobiidae	Gobiiformes	Neon goby	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		1	45	Subtropical	0	0	endemic															yes											
Elagatis_bipinnulata_E00841	Elagatis_bipinnulata_E00841	Clade40	Carangidae	Carangiformes	Rainbow runner	Reports of ciguatera poisoning	Least Concern	LC	highly commercial		yes			0	0	1	reef-associated		0	150	Subtropical	46.2	6	native										yes		yes	yes	yes	yes		yes	yes	yes		yes		yes	yes	yes	yes
Elassoma_evergladei_E00146	Elassoma_evergladei_E00146	Clade42	Elassomatidae	Centrarchiformes	Everglades pygmy sunfish	Harmless	Least Concern	LC					commercial	1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Elassoma_okefenokee_G01283	Elassoma_okefenokee_G01283	Clade42	Elassomatidae	Centrarchiformes	Okefenokee pygmy sunfish	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Elassoma_zonatum_G01284	Elassoma_zonatum_G01284	Clade42	Elassomatidae	Centrarchiformes	Banded pygmy sunfish	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Temperate	0	3	endemic		yes																								
Electrona_antarctica_M22055	Electrona_antarctica_M22055	Clade24	Myctophidae	Myctophiformes		Harmless	Least Concern	LC						0	0	1	demersal	oceanodromous	1	1010	Polar	0	4	native									yes				yes			yes		yes		yes						
Electrophorus_electricus_P1_E08_RG04	Electrophorus_electricus_P1_E08_RG04	Clade13	Gymnotidae	Gymnotiformes	Electric eel	Other	Least Concern	LC	commercial				public aquariums	1	0	0	benthopelagic		0	0	Tropical	20	0	endemic			yes																							
Eleginops_maclovinus_G01286	Eleginops_maclovinus_G01286	Clade42	Eleginopsidae	Perciformes	Patagonian blennie	Harmless	Not Evaluated	NE	minor commercial					0	0	1	benthopelagic		0	0	Temperate	0	0	native														yes										yes		
Eleotris_acanthopoma_pisonis_E00741	Eleotris_acanthopoma_pisonis_E00741	Clade38c	Eleotridae	Gobiiformes	Spinecheek gudgeon	Harmless	Least Concern	LC					commercial	1	1	1	demersal	amphidromous	0	5	Tropical	0	0	native	yes			yes		yes												yes					yes		yes	yes
Eleutheronema_rhadinum_N26015	Eleutheronema_rhadinum_N26015	Clade40	Polynemidae	Incertae sedis in Carangaria	East Asian fourfinger threadfin	Harmless	Not Evaluated	NE						0	1	1	pelagic-neritic		5	8	Temperate	0	0	endemic																							yes			
Eleutheronema_tetradactylum_E01154	Eleutheronema_tetradactylum_E01154	Clade40	Polynemidae	Incertae sedis in Carangaria	Fourfinger threadfin	Harmless	Not Evaluated	NE	highly commercial	commercial				1	1	1	pelagic-neritic	amphidromous	0	23	Tropical	145	0	native				yes		yes											yes	yes					yes			yes
Elopichthys_bambusa_I2593-59	Elopichthys_bambusa_I2593-59	Clade11d	Xenocyprididae	Cypriniformes	Yellowcheek	Harmless	Data deficient	DD						1	0	0	benthopelagic	potamodromous	0	0	Temperate	40	0	native				yes																						
Elops_saurus_E00769	Elops_saurus_E00769	Clade06a	Elopidae	Elopiformes	Ladyfish	Harmless	Least Concern	LC	minor commercial		yes	usually		0	1	1	reef-associated	amphidromous	0	50	Subtropical	10.1	0	native				yes								yes		yes	yes			yes					yes			yes
Embassichthys_bathybius_E00064	Embassichthys_bathybius_E00064	Clade40	Pleuronectidae	Pleuronectiformes	Deep-sea sole	Harmless	Not Evaluated	NE			yes			0	0	1	bathydemersal		41	1800	Deep-water	0	0	native																					yes	yes	yes			
Embiotoca_jacksoni_E00120	Embiotoca_jacksoni_E00120	Clade41	Embiotocidae	Incertae sedis in Ovalentaria	Black perch	Harmless	Least Concern	LC						0	0	1	demersal		0	46	Subtropical	0.7	10	endemic																					yes					
Embiotoca_lateralis_N14635	Embiotoca_lateralis_N14635	Clade41	Embiotocidae	Incertae sedis in Ovalentaria	Striped seaperch	Harmless	Least Concern	LC	commercial		yes		public aquariums	0	0	1	demersal		0	21	Subtropical	0	10	native																					yes	yes				
Emblemaria_pandionis_E00310	Emblemaria_pandionis_E00310	Clade41	Chaenopsidae	Blenniiformes	Sailfin blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		1	12	Tropical	0	0	endemic															yes											
Enchelyopus_cimbrius_E00369	Enchelyopus_cimbrius_E00369	Clade29	Gaidropsaridae	Gadiformes	Fourbeard rockling	Harmless	Least Concern	LC	minor commercial					0	0	1	demersal	oceanodromous	20	650	Temperate	0	9	native										yes	yes	yes			yes								yes			
Enchelyurus_flavipes_N04786	Enchelyurus_flavipes_N04786	Clade41	Blenniidae	Blenniiformes	Yellowfin blenny	Harmless	Least Concern	LC						0	0	1	demersal		0	0	Tropical	0	0	endemic																										yes
Engraulis_mordax_eurystole_E00351	Engraulis_mordax_eurystole_E00351	Clade08b	Engraulidae	Clupeiformes	Californian anchovy	Harmless	Least Concern	LC	commercial			usually		0	0	1	pelagic-neritic		0	310	Subtropical	0.068	7	native																					yes	yes				
Enneacampus_ansorgii	Enneacampus_ansorgii	Clade37	Syngnathidae	Syngnathiformes		Harmless	Least Concern	LC						1	1	0	demersal		0	0	Tropical	0	0	endemic	yes																									
Enneanectes_altivelis_E00315	Enneanectes_altivelis_E00315	Clade41	Tripterygiidae	Blenniiformes	Lofty triplefin	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		0	0	Tropical	0	0	native														yes	yes											
Enneanectes_boehlkei_E00305	Enneanectes_boehlkei_E00305	Clade41	Tripterygiidae	Blenniiformes	Roughhead triplefin	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		0	0	Subtropical	0	0	endemic															yes											
Enneapterygius_abeli_E00896	Enneapterygius_abeli_E00896	Clade41	Tripterygiidae	Blenniiformes	Yellow triplefin	Harmless	Least Concern	LC						0	0	1	reef-associated		1	14	Tropical	0	0	endemic																		yes								
Enneapterygius_gruschkai_E00916	Enneapterygius_gruschkai_E00916	Clade41	Tripterygiidae	Blenniiformes		Harmless	Least Concern	LC						0	0	1	demersal		1	8	Tropical	0	0	endemic																		yes								
Enophrys_taurina_E00234	Enophrys_taurina_E00234	Clade42	Psychrolutidae	Perciformes	Bull sculpin	Harmless	Least Concern	LC						0	0	1	demersal		11	256	Temperate	0	0	endemic																					yes					
Enoplosus_armatus_G01287	Enoplosus_armatus_G01287	Clade42	Enoplosidae	Centrarchiformes	Old wife	Harmless	Not Evaluated	NE	minor commercial				commercial	0	1	1	reef-associated		0	90	Temperate	0	0	native																	yes								yes	
Entelurus_aequoreus	Entelurus_aequoreus	Clade37	Syngnathidae	Syngnathiformes	Snake pipefish	Harmless	Least Concern	LC	of no interest				public aquariums	0	1	1	demersal		5	100	Temperate	0	0	native											yes	yes							yes							
Entomacrodus_nigricans_E00297	Entomacrodus_nigricans_E00297	Clade41	Blenniidae	Blenniiformes	Pearl blenny	Harmless	Least Concern	LC	of no interest				commercial	0	0	1	reef-associated		0	6	Tropical	0	0	endemic															yes											
Entomacrodus_niuafoouensis_E00980	Entomacrodus_niuafoouensis_E00980	Clade41	Blenniidae	Blenniiformes	Tattoo-chin rockskipper	Harmless	Least Concern	LC						0	0	1	reef-associated		0	0	Tropical	0	0	native																	yes	yes			yes		yes	yes	yes	yes
Entomacrodus_striatus_E00987	Entomacrodus_striatus_E00987	Clade41	Blenniidae	Blenniiformes	Reef margin blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		0	3	Tropical	0	0	native																	yes	yes			yes		yes		yes	yes
Eopsetta_jordani_E00444	Eopsetta_jordani_E00444	Clade40	Pleuronectidae	Pleuronectiformes	Petrale sole	Harmless	Least Concern	LC	commercial		yes			0	0	1	demersal		0	550	Temperate	3.7	35	native																					yes	yes	yes			
Epibulus_insidiator_E00879	Epibulus_insidiator_E00879	Clade42	Labridae	Labriformes	Sling-jaw wrasse	Reports of ciguatera poisoning	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		1	42	Tropical	0	0	native																	yes	yes			yes		yes			yes
Epigonus_pandionis_E01019	Epigonus_pandionis_E01019	Clade42	Epigonidae	Pempheriformes	Bigeye	Harmless	Least Concern	LC	of potential interest					0	0	1	bathydemersal		200	600	Deep-water	0.1723	0	native										yes		yes	yes	yes	yes											
Epigonus_telescopus_E00652	Epigonus_telescopus_E00652	Clade42	Epigonidae	Pempheriformes	Black cardinal fish	Harmless	Least Concern	LC	commercial					0	0	1	bathydemersal		75	1200	Deep-water	0	104	native										yes	yes	yes	yes		yes		yes		yes						yes	
Epinephelus_maculatus_E00549	Epinephelus_maculatus_E00549	Clade42	Serranidae	Perciformes	Highfin grouper	Reports of ciguatera poisoning	Least Concern	LC	minor commercial				public aquariums	0	0	1	reef-associated		2	100	Tropical	0	0	native																	yes				yes		yes		yes	yes
Epinephelus_merra_E00552	Epinephelus_merra_E00552	Clade42	Serranidae	Perciformes	Honeycomb grouper	Reports of ciguatera poisoning	Least Concern	LC	commercial	commercial	yes		public aquariums	0	0	1	reef-associated		0	50	Tropical	0	0	native													yes				yes	yes			yes		yes		yes	yes
Erimonax_monachus_I2711-NCSM61165	Erimonax_monachus_I2711-NCSM61165	Clade11d	Leuciscidae	Cypriniformes	Spotfin chub	Harmless	Vulnerable	VU					commercial	1	0	0	benthopelagic		0	0	Subtropical	0	4																											
Erimystax_insignis_I2560-CKR1198	Erimystax_insignis_I2560-CKR1198	Clade11d	Leuciscidae	Cypriniformes	Blotched chub	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Erimyzon_oblongus_I2701-181	Erimyzon_oblongus_I2701-181	Clade11b	Catostomidae	Cypriniformes	Eastern creek chubsucker	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Subtropical	0	6	endemic		yes																								
Ernstichthys_sp_P1_E10_RG61	Ernstichthys_sp_P1_E10_RG61	Clade14c	Aspredinidae	Siluriformes										0	0	0			0	0		0	0																											
Erpetoichthys_calabaricus_G01288	Erpetoichthys_calabaricus_G01288	Clade02	Polypteridae	Polypteriformes	Reedfish	Harmless	Near Threatened	NT	of no interest				commercial	1	1	0	demersal		0	0	Tropical	0	0	endemic	yes																									
Erythrocles_schlegelii_E00954	Erythrocles_schlegelii_E00954	Clade42	Emmelichthyidae	Incertae sedis in Eupercaria	Japanese rubyfish	Harmless	Least Concern	LC	commercial					0	0	1	demersal		0	0	Deep-water	0	0	native																	yes	yes					yes			yes
Erythrocles_scintillans_N14652	Erythrocles_scintillans_N14652	Clade42	Emmelichthyidae	Incertae sedis in Eupercaria	Golden kali kali	Harmless	Not Evaluated	NE	minor commercial					0	0	1	benthopelagic		73	606	Deep-water	0	0	native																					yes		yes	yes		yes
Esomus_danricus_I2613-99	Esomus_danricus_I2613-99	Clade11d	Danionidae	Cypriniformes	Flying barb	Harmless	Least Concern	LC	minor commercial				commercial	1	1	0	benthopelagic	potamodromous	0	0	Tropical	0	0																											
Esox_americanus_G01289	Esox_americanus_G01289	Clade18	Esocidae	Esociformes	Redfin pickerel	Harmless	Least Concern	LC	of no interest		yes		public aquariums	1	1	0	demersal	non-migratory	0	0	Subtropical	1	0	native		yes										yes			yes											
Esox_lucius_E00688	Esox_lucius_E00688	Clade18	Esocidae	Esociformes	Northern pike	Potential pest	Least Concern	LC	highly commercial	commercial	yes		public aquariums	1	1	0	demersal	potamodromous	0	30	Subtropical	28.4	30	introduced	yes	yes		yes	yes						yes															
Etheostoma_atripinne_G01290	Etheostoma_atripinne_G01290	Clade42	Percidae	Perciformes	Cumberland snubnose darter	Harmless	Least Concern	LC						1	0	0	benthopelagic		0	0	Temperate	0	0	endemic		yes																								
Etheostoma_juliae_E00168	Etheostoma_juliae_E00168	Clade42	Percidae	Perciformes	Yoke darter	Harmless	Least Concern	LC						1	0	0	benthopelagic		0	0	Subtropical	0	3	endemic		yes																								
Etheostoma_simoterum_E00152	Etheostoma_simoterum_E00152	Clade42	Percidae	Perciformes	Snubnose darter	Harmless	Least Concern	LC						1	0	0	benthopelagic		0	0	Temperate	0	0	endemic		yes																								
Etheostoma_vitreum_E00147	Etheostoma_vitreum_E00147	Clade42	Percidae	Perciformes	Glassy darter	Harmless	Least Concern	LC						1	0	0	benthopelagic		0	0	Temperate	0	0	endemic		yes																								
Etheostoma_zonale_E01111	Etheostoma_zonale_E01111	Clade42	Percidae	Perciformes	Banded darter	Harmless	Least Concern	LC						1	0	0	benthopelagic		0	0	Temperate	0	4	endemic		yes																								
Etroplus_maculatus_E00133	Etroplus_maculatus_E00133	Clade41	Cichlidae	Cichliformes	Orange chromide	Harmless	Least Concern	LC	commercial				commercial	1	1	0	benthopelagic	amphidromous	0	0	Tropical	0.014	0	endemic				yes																						
Etropus_crossotus_E00647	Etropus_crossotus_E00647	Clade40	Cyclopsettidae	Pleuronectiformes	Fringed flounder	Harmless	Least Concern	LC	minor commercial					0	1	1	demersal	oceanodromous	0	100	Subtropical	0	1	native												yes		yes	yes						yes			yes		
Etropus_microstomus_E00047	Etropus_microstomus_E00047	Clade40	Cyclopsettidae	Pleuronectiformes	Smallmouth flounder	Harmless	Not Evaluated	NE						0	0	1	demersal	oceanodromous	0	91	Subtropical	0	0	native												yes			yes											
Eucinostomus_argenteus_E00575	Eucinostomus_argenteus_E00575	Clade42	Gerreidae	Gerreiformes	Silver mojarra	Harmless	Least Concern	LC	minor commercial			occasionally		1	1	1	reef-associated		0	12	Subtropical	0.0205	0	native		yes										yes		yes	yes						yes			yes		
Eucinostomus_gula_E00756	Eucinostomus_gula_E00756	Clade42	Gerreidae	Gerreiformes	Jenny mojarra	Harmless	Least Concern	LC	minor commercial			usually		1	1	1	reef-associated		0	55	Subtropical	0	0	native		yes	yes									yes		yes	yes											
Eucryphycus_californicus_E00327	Eucryphycus_californicus_E00327	Clade42	Zoarcidae	Perciformes	Persimmon eelpout	Harmless	Not Evaluated	NE						0	0	1	demersal		73	545	Subtropical	0	0	endemic																					yes					
Eugerres_plumieri_G01291	Eugerres_plumieri_G01291	Clade42	Gerreidae	Gerreiformes	Striped mojarra	Harmless	Least Concern	LC	minor commercial		yes			1	1	1	demersal		0	0	Subtropical	1	0	native			yes											yes	yes											
Eugnathichthys_macroterolepis_P3_F06_RG09	Eugnathichthys_macroterolepis_P3_F06_RG09	Clade12a	Distichodontidae	Characiformes		Harmless	Least Concern	LC						1	0	0	pelagic		0	0	Tropical	0	0	endemic	yes																									
Eumicrotremus_orbis_E00270	Eumicrotremus_orbis_E00270	Clade42	Cyclopteridae	Perciformes	Pacific spiny lumpsucker	Harmless	Not Evaluated	NE						0	0	1	demersal		0	575	Temperate	0.1	0	native								yes														yes	yes			
Eurypegasus_draconis	Eurypegasus_draconis	Clade37	Pegasidae	Syngnathiformes	Short dragonfish	Harmless	Vulnerable	VU						0	1	1	reef-associated		3	91	Tropical	0	0	native													yes				yes	yes			yes		yes		yes	yes
Eurypharynx_pelecanoides_G01292	Eurypharynx_pelecanoides_G01292	Clade06d	Eurypharyngidae	Anguilliformes	Pelican eel	Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		500	7625	Deep-water	0	0	native										yes	yes	yes	yes	yes	yes		yes	yes			yes		yes	yes	yes	yes
Eustomias_polyaster_E00778	Eustomias_polyaster_E00778	Clade21	Stomiidae	Stomiatiformes		Harmless	Data deficient	DD						0	0	1	pelagic-oceanic		0	0	Tropical	0	0	endemic															yes											
Euthynnus_affinis_E00830	Euthynnus_affinis_E00830	Clade36	Scombridae	Scombriformes	Kawakawa	Reports of ciguatera poisoning	Least Concern	LC	highly commercial		yes			0	0	1	pelagic-neritic	oceanodromous	0	200	Tropical	14	0	native													yes				yes	yes			yes		yes		yes	yes
Euthynnus_alletteratus_E00696	Euthynnus_alletteratus_E00696	Clade36	Scombridae	Scombriformes	Little tunny	Reports of ciguatera poisoning	Least Concern	LC	commercial		yes			0	1	1	reef-associated	oceanodromous	1	150	Tropical	16.5	10	native										yes	yes	yes	yes	yes	yes				yes							
Eutropiichthys_murius_P1_C12_RG43	Eutropiichthys_murius_P1_C12_RG43	Clade14c	Ailiidae	Siluriformes		Harmless	Least Concern	LC	commercial					1	0	0	demersal		0	0	Tropical	0	0	endemic				yes																						
Evermannella_balbo_E00815	Evermannella_balbo_E00815	Clade23	Evermannellidae	Aulopiformes	Balbo sabretooth	Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic	oceanodromous	100	1000	Deep-water	0	0	native										yes	yes	yes	yes	yes				yes	yes					yes	yes	
Eviota_albolineata_E01041	Eviota_albolineata_E01041	Clade38c	Gobiidae	Gobiiformes	White-line dwarfgoby	Harmless	Not Evaluated	NE						0	0	1	reef-associated		0	3	Tropical	0	0	native																	yes	yes			yes		yes		yes	yes
