items	name	Clade	Family	Order
Aporops_bilinearis_E00531	Aporops_bilinearis_E00531	Clade42	Serranidae	Perciformes
Aprion_virescens_E00828	Aprion_virescens_E00828	Clade42	Lutjanidae	Lutjaniformes
Apsilus_dentatus_E00770	Apsilus_dentatus_E00770	Clade42	Lutjanidae	Lutjaniformes
Apternotus_sp_P1_H12_RG56	Apternotus_sp_P1_H12_RG56	Clade13	Apteronotidae	Gymnotiformes
Apteronotus_albifrons_P1_C09_RG93	Apteronotus_albifrons_P1_C09_RG93	Clade13	Apteronotidae	Gymnotiformes
Aracana_aurita_G01205	Aracana_aurita_G01205	Clade42	Aracanidae	Tetraodontiformes
Arapaima_gigas_G01206	Arapaima_gigas_G01206	Clade07b	Osteoglossidae	Osteoglossiformes
Archamia_biguttata_E00522	Archamia_biguttata_E00522	Clade38a	Apogonidae	Kurtiformes
Archoplites_interruptus_N01722	Archoplites_interruptus_N01722	Clade42	Centrarchidae	Centrarchiformes
Archosargus_probatocephalus_E00249	Archosargus_probatocephalus_E00249	Clade42	Sparidae	Spariformes
Arcos_sp_E00102	Arcos_sp_E00102	Clade41	Gobiesocidae	Gobiesociformes
Argentina_sialis_silus_E00352	Argentina_sialis_silus_E00352	Clade16	Argentinidae	Argentiniformes
Argentina_striata_E01031	Argentina_striata_E01031	Clade16	Argentinidae	Argentiniformes
Argyropelecus_affinis_E00062	Argyropelecus_affinis_E00062	Clade21	Sternoptychidae	Stomiatiformes
Argyropelecus_gigas_G01207	Argyropelecus_gigas_G01207	Clade21	Sternoptychidae	Stomiatiformes
Argyrops_spinifer_M01668	Argyrops_spinifer_M01668	Clade42	Sparidae	Spariformes
Argyrozona_argyrozona_E00802	Argyrozona_argyrozona_E00802	Clade42	Sparidae	Spariformes
Ariomma_bondi_E01126	Ariomma_bondi_E01126	Clade36	Ariommatidae	Scombriformes
Ariomma_melanum_E00665	Ariomma_melanum_E00665	Clade36	Ariommatidae	Scombriformes
Aristostomias_scintillans_E00065	Aristostomias_scintillans_E00065	Clade21	Stomiidae	Stomiatiformes
Arnoglossus_blachei_E01160	Arnoglossus_blachei_E01160	Clade40	Bothidae	Pleuronectiformes
Arnoglossus_imperialis_E01163	Arnoglossus_imperialis_E01163	Clade40	Bothidae	Pleuronectiformes
Arothron_hispidus_E00985	Arothron_hispidus_E00985	Clade42	Tetraodontidae	Tetraodontiformes
Arothron_nigropunctatus_N31143	Arothron_nigropunctatus_N31143	Clade42	Tetraodontidae	Tetraodontiformes
Arrhamphus_sclerolepis_G01209	Arrhamphus_sclerolepis_G01209	Clade41	Hemiramphidae	Beloniformes
Arripis_georgianus_M01539	Arripis_georgianus_M01539	Clade36	Arripidae	Scombriformes
Arripis_trutta_M01540	Arripis_trutta_M01540	Clade36	Arripidae	Scombriformes
Arripis_truttacea_M01541	Arripis_truttacea_M01541	Clade36	Arripidae	Scombriformes
Artedidraco_orianae_G01525	Artedidraco_orianae_G01525	Clade42	Artedidraconidae	Perciformes
Artediellus_uncinatus_N10447	Artediellus_uncinatus_N10447	Clade42	Psychrolutidae	Perciformes
Aseraggodes_heemstrai_E00582	Aseraggodes_heemstrai_E00582	Clade40	Soleidae	Pleuronectiformes
Aseraggodes_kobensis_E00075	Aseraggodes_kobensis_E00075	Clade40	Soleidae	Pleuronectiformes
Aspidophoroides_monopterygius_N01986	Aspidophoroides_monopterygius_N01986	Clade42	Agonidae	Perciformes
Assurger_anzac_G01210	Assurger_anzac_G01210	Clade36	Trichiuridae	Scombriformes
Astatotilapia_burtoni_G01518	Astatotilapia_burtoni_G01518	Clade41	Cichlidae	Cichliformes
Asterorhombus_cocosensis_E00904	Asterorhombus_cocosensis_E00904	Clade40	Bothidae	Pleuronectiformes
Asterropteryx_semipunctata_E01089	Asterropteryx_semipunctata_E01089	Clade38c	Gobiidae	Gobiiformes
Astrapogon_puncticulatus_E00109	Astrapogon_puncticulatus_E00109	Clade38a	Apogonidae	Kurtiformes
Astrapogon_stellatus_N03004	Astrapogon_stellatus_N03004	Clade38a	Apogonidae	Kurtiformes
Astroblepus_sp_P02_E04_RG21	Astroblepus_sp_P02_E04_RG21	Clade14a	Astroblepidae	Siluriformes
Astronesthes_leucopogon_M30297	Astronesthes_leucopogon_M30297	Clade21	Stomiidae	Stomiatiformes
Astroscopus_ygraecum_E01028	Astroscopus_ygraecum_E01028	Clade42	Uranoscopidae	Uranoscopiformes
Astyanax_abramoides_P1_H01_RG11	Astyanax_abramoides_P1_H01_RG11	Clade12b	Characidae	Characiformes
Ateleopus_japonicus_G01213	Ateleopus_japonicus_G01213	Clade22	Ateleopodidae	Ateleopodiformes
Atheresthes_evermanni_E00055	Atheresthes_evermanni_E00055	Clade40	Pleuronectidae	Pleuronectiformes
Atherinomorus_lacunosus_E00548	Atherinomorus_lacunosus_E00548	Clade41	Atherinidae	Atheriniformes
Atherinomorus_stipes_E00115	Atherinomorus_stipes_E00115	Clade41	Atherinidae	Atheriniformes
Atherinomorus_vaigiensis_E00181	Atherinomorus_vaigiensis_E00181	Clade41	Atherinidae	Atheriniformes
Atherinopsis_californiensis_E00121	Atherinopsis_californiensis_E00121	Clade41	Atherinopsidae	Atheriniformes
Atractoscion_nobilis_E00125	Atractoscion_nobilis_E00125	Clade42	Sciaenidae	Incertae sedis in Eupercaria
Atractosteus_spatula_G01214	Atractosteus_spatula_G01214	Clade05	Lepisosteidae	Lepisosteiformes
Atractosteus_tropicus_G01215	Atractosteus_tropicus_G01215	Clade05	Lepisosteidae	Lepisosteiformes
Atrosalarias_fuscus_E00525	Atrosalarias_fuscus_E00525	Clade41	Blenniidae	Blenniiformes
Atule_mate_E00942	Atule_mate_E00942	Clade40	Carangidae	Carangiformes
Auchenipterichthys_longimanus_P02_F12_RG66	Auchenipterichthys_longimanus_P02_F12_RG66	Clade14c	Auchenipteridae	Siluriformes
Aulichthys_japonicus_G01216	Aulichthys_japonicus_G01216	Clade42	Hypoptychidae	Perciformes
Aulopus_filamentosus_E00502	Aulopus_filamentosus_E00502	Clade23	Aulopidae	Aulopiformes
Aulorhynchus_flavidus_G01217	Aulorhynchus_flavidus_G01217	Clade42	Aulorhynchidae	Perciformes
Aulostomus_chinensis	Aulostomus_chinensis	Clade37	Aulostomidae	Syngnathiformes
Aulostomus_maculatus	Aulostomus_maculatus	Clade37	Aulostomidae	Syngnathiformes
Aulotrachichthys_prosthemius_M31392	Aulotrachichthys_prosthemius_M31392	Clade31	Trachichthyidae	Trachichthyiformes
Auxis_rochei_E00673	Auxis_rochei_E00673	Clade36	Scombridae	Scombriformes
Azurina_hirundo_E00580	Azurina_hirundo_E00580	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Badis_pyema_N03996	Badis_pyema_N03996	Clade39a	Badidae	Anabantiformes
Bagrus_ubangensis_P02_G12_RG42	Bagrus_ubangensis_P02_G12_RG42	Clade14c	Bagridae	Siluriformes
Bairdiella_chrysoura_E00165	Bairdiella_chrysoura_E00165	Clade42	Sciaenidae	Incertae sedis in Eupercaria
Baldwinella_aureorubens_G01220	Baldwinella_aureorubens_G01220	Clade42	Serranidae	Perciformes
Baldwinella_vivana_E00338	Baldwinella_vivana_E00338	Clade42	Serranidae	Perciformes
Balistapus_undulatus_E00743	Balistapus_undulatus_E00743	Clade42	Balistidae	Tetraodontiformes
Balistes_capriscus_E00591	Balistes_capriscus_E00591	Clade42	Balistidae	Tetraodontiformes
Balistes_vetula_E00755	Balistes_vetula_E00755	Clade42	Balistidae	Tetraodontiformes
Balistoides_conspicillum_E00373	Balistoides_conspicillum_E00373	Clade42	Balistidae	Tetraodontiformes
Banjos_banjos_M01542	Banjos_banjos_M01542	Clade42	Banjosidae	Pempheriformes
Banjos_banjos_N01542	Banjos_banjos_N01542	Clade42	Banjosidae	Pempheriformes
Barathronus_maculatus_N02779	Barathronus_maculatus_N02779	Clade34a	Bythitidae	Ophidiiformes
Barbichthys_laevis_I2665-102	Barbichthys_laevis_I2665-102	Clade11d	Cyprinidae	Cypriniformes
Barbonymus_gonionotus_I2622-120	Barbonymus_gonionotus_I2622-120	Clade11d	Cyprinidae	Cypriniformes
Barbonymus_schwanenfeldii_I2619-114	Barbonymus_schwanenfeldii_I2619-114	Clade11d	Cyprinidae	Cypriniformes
Barbourisia_rufa_G01222	Barbourisia_rufa_G01222	Clade32b	Barbourisiidae	Beryciformes
Barbus_barbus_I2587-13	Barbus_barbus_I2587-13	Clade11d	Cyprinidae	Cypriniformes
Barbus_compiniei_I2614-41	Barbus_compiniei_I2614-41	Clade11d	Cyprinidae	Cypriniformes
Barilius_pulchellus_I2710-191	Barilius_pulchellus_I2710-191	Clade11d	Danionidae	Cypriniformes
Barilius_tilio_I2553-MTD025	Barilius_tilio_I2553-MTD025	Clade11d	Danionidae	Cypriniformes
Bassogigas_gillii_E00481	Bassogigas_gillii_E00481	Clade34b	Ophidiidae	Ophidiiformes
Bathophilus_flemingi_pawneei_E00063	Bathophilus_flemingi_pawneei_E00063	Clade21	Stomiidae	Stomiatiformes
Bathyaethiops_greeni_P3_H05_RG79	Bathyaethiops_greeni_P3_H05_RG79	Clade12b	Alestidae	Characiformes
Bathyagonus_alascanus_E00268	Bathyagonus_alascanus_E00268	Clade42	Agonidae	Perciformes
Bathyagonus_pentacanthus_E00430	Bathyagonus_pentacanthus_E00430	Clade42	Agonidae	Perciformes
Bathyclupea_argentea_M01543	Bathyclupea_argentea_M01543	Clade42	Bathyclupeidae	Pempheriformes
Bathygadus_favosus_E00485	Bathygadus_favosus_E00485	Clade29	Bathygadidae	Gadiformes
Bathygobius_mystacium_E00104	Bathygobius_mystacium_E00104	Clade38c	Gobiidae	Gobiiformes
Bathylaco_nigricans_G01223	Bathylaco_nigricans_G01223	Clade09	Alepocephalidae	Alepocephaliformes
Bathylagus_euryops_G01224	Bathylagus_euryops_G01224	Clade16	Bathylagidae	Argentiniformes
Bathymaster_caeruleofasciatus_E00191	Bathymaster_caeruleofasciatus_E00191	Clade42	Bathymasteridae	Perciformes
Bathymaster_signatus_E00420	Bathymaster_signatus_E00420	Clade42	Bathymasteridae	Perciformes
Bathypterois_atricolor_G01225	Bathypterois_atricolor_G01225	Clade23	Ipnopidae	Aulopiformes
Bathypterois_grallator_E01017	Bathypterois_grallator_E01017	Clade23	Ipnopidae	Aulopiformes
Bathysaurus_ferox_E00785	Bathysaurus_ferox_E00785	Clade23	Bathysauridae	Aulopiformes
Batrachoides_pacifici_N04533	Batrachoides_pacifici_N04533	Clade35	Batrachoididae	Batrachoidiformes
Batrochoglanis_villosus_P02_H10_RG34	Batrochoglanis_villosus_P02_H10_RG34	Clade14c	Pseudopimelodidae	Siluriformes
Beaufortia_kweichowensis_I2605-44	Beaufortia_kweichowensis_I2605-44	Clade11c	Gastromyzontidae	Cypriniformes
Belanophago_hutsebouti_P3_C02_RG57	Belanophago_hutsebouti_P3_C02_RG57	Clade12a	Distichodontidae	Characiformes
Bellator_militaris_E01026	Bellator_militaris_E01026	Clade42	Triglidae	Perciformes
Belonesox_belizanus_E01052	Belonesox_belizanus_E01052	Clade41	Poeciliidae	Cyprinodontiformes
Bembras_japonica_N01723	Bembras_japonica_N01723	Clade42	Bembridae	Perciformes
Bembrops_anatirostris_E01120	Bembrops_anatirostris_E01120	Clade42	Bembropidae	Perciformes
Bembrops_gobioides_E01128	Bembrops_gobioides_E01128	Clade42	Bembropidae	Perciformes
Benthalbella_dentata_E00440	Benthalbella_dentata_E00440	Clade23	Scopelarchidae	Aulopiformes
Benthalbella_infans_M01724	Benthalbella_infans_M01724	Clade23	Scopelarchidae	Aulopiformes
Benthalbella_macropinna_E00033	Benthalbella_macropinna_E00033	Clade23	Scopelarchidae	Aulopiformes
Benthodesmus_simonyi_E00475	Benthodesmus_simonyi_E00475	Clade36	Trichiuridae	Scombriformes
Benthosema_glaciale_E00494	Benthosema_glaciale_E00494	Clade24	Myctophidae	Myctophiformes
Bertella_idiomorpha_E00386	Bertella_idiomorpha_E00386	Clade42	Oneirodidae	Lophiiformes
Beryx_decadactylus_E00159	Beryx_decadactylus_E00159	Clade32a	Berycidae	Beryciformes
Betta_splendens_G01226	Betta_splendens_G01226	Clade39a	Osphronemidae	Anabantiformes
Bidenichthys_capensis_E00794	Bidenichthys_capensis_E00794	Clade34a	Bythitidae	Ophidiiformes
Bivibranchia_fowleri_P1_G03_RG22	Bivibranchia_fowleri_P1_G03_RG22	Clade12b	Hemiodontidae	Characiformes
Blenniella_chrysospilos_paula_E00986	Blenniella_chrysospilos_paula_E00986	Clade41	Blenniidae	Blenniiformes
Blenniella_cyanostigma_E00715	Blenniella_cyanostigma_E00715	Clade41	Blenniidae	Blenniiformes
Blenniella_paula_E00979	Blenniella_paula_E00979	Clade41	Blenniidae	Blenniiformes
Blennophis_striatus_E00800	Blennophis_striatus_E00800	Clade41	Clinidae	Blenniiformes
Bodianus_axillaris_E00947	Bodianus_axillaris_E00947	Clade42	Labridae	Labriformes
Bodianus_mesothorax_E00560	Bodianus_mesothorax_E00560	Clade42	Labridae	Labriformes
Bollmannia_communis_E00617	Bollmannia_communis_E00617	Clade38c	Gobiidae	Gobiiformes
Bonapartia_pedaliota_E00496	Bonapartia_pedaliota_E00496	Clade21	Gonostomatidae	Stomiatiformes
Boops_boops_M01640	Boops_boops_M01640	Clade42	Sparidae	Spariformes
Boopsoidea_inornata_M01639	Boopsoidea_inornata_M01639	Clade42	Sparidae	Spariformes
Borostomias_antarcticus_E00813	Borostomias_antarcticus_E00813	Clade21	Stomiidae	Stomiatiformes
Bothrocara_brunneum_E00357	Bothrocara_brunneum_E00357	Clade42	Zoarcidae	Perciformes
Bothrocara_hollandi_N01721	Bothrocara_hollandi_N01721	Clade42	Zoarcidae	Perciformes
Bothus_lunatus_E00007	Bothus_lunatus_E00007	Clade40	Bothidae	Pleuronectiformes
Bothus_robinsi_E00038	Bothus_robinsi_E00038	Clade40	Bothidae	Pleuronectiformes
Boulengerella_lateristriga_P1_D05_RG71	Boulengerella_lateristriga_P1_D05_RG71	Clade12b	Ctenoluciidae	Characiformes
Bovichtus_diacanthus_G01229	Bovichtus_diacanthus_G01229	Clade42	Bovichtidae	Perciformes
Brachirus_annularis_E01182	Brachirus_annularis_E01182	Clade40	Soleidae	Pleuronectiformes
